"","fips","county","pctblack","hbcus","hbcuzip","pov"
"204",NA,NA,NA,"North Carolina Central University",27707,FALSE
"205",NA,NA,NA,"Oakwood University",35896,FALSE
"206",NA,NA,NA,"Paine College",30901,FALSE
"207",NA,NA,NA,"Philander Smith College",72202,FALSE
"208",NA,NA,NA,"Prairie View A&M University",77446,FALSE
"209",NA,NA,NA,"Rust College",38635,FALSE
"210",NA,NA,NA,"Savannah State University",31404,FALSE
"211",NA,NA,NA,"Selma University",36701,FALSE
"212",NA,NA,NA,"Shaw University",27601,FALSE
"213",NA,NA,NA,"South Carolina State University",29117,FALSE
"214",NA,NA,NA,"Southern University and A&M College",70813,FALSE
"215",NA,NA,NA,"Southern University at New Orleans",70126,FALSE
"216",NA,NA,NA,"Spelman College",30314,FALSE
"217",NA,NA,NA,"St. Augustine's University",27610,FALSE
"218",NA,NA,NA,"Stillman College",35401,FALSE
"219",NA,NA,NA,"Talladega College",35160,FALSE
"220",NA,NA,NA,"Tennessee State University",37209,FALSE
"221",NA,NA,NA,"Texas College",75712,FALSE
"222",NA,NA,NA,"Texas Southern University",77004,FALSE
"223",NA,NA,NA,"Tougaloo College",39174,FALSE
"224",NA,NA,NA,"Tuskegee University",36088,FALSE
"225",NA,NA,NA,"University of Arkansas at Pine Bluff",71601,FALSE
"226",NA,NA,NA,"University of the District of Columbia",20008,FALSE
"227",NA,NA,NA,"University of Virgin Islands",NA,FALSE
"228",NA,NA,NA,"University of Maryland Eastern Shore",21853,FALSE
"229",NA,NA,NA,"Virginia State University",23806,FALSE
"230",NA,NA,NA,"Virginia Union University",23220,FALSE
"231",NA,NA,NA,"Voorhees College",29042,FALSE
"232",NA,NA,NA,"West Virginia State University",25112,FALSE
"233",NA,NA,NA,"Wilberforce University",45384,FALSE
"234",NA,NA,NA,"Wiley College",75670,FALSE
"235",NA,NA,NA,"Winston-Salem State University",27110,FALSE
"236",NA,NA,NA,"Xavier University of Louisiana",70125,FALSE
"237",NA,NA,NA,"Bishop State Community College",36603,FALSE
"238",NA,NA,NA,"Clinton College",29730,FALSE
"239",NA,NA,NA,"Coahoma Community College",38614,FALSE
"240",NA,NA,NA,"Denmark Technical College",29042,FALSE
"241",NA,NA,NA,"Gadsden State Community College",35903,FALSE
"242",NA,NA,NA,"H Councill Trenholm State Technical College",36108,FALSE
"243",NA,NA,NA,"Hinds Community College at Utica",39154,FALSE
"244",NA,NA,NA,"Interdenominational Theological Center",30314,FALSE
"245",NA,NA,NA,"J.F. Drake State Technical College",35811,FALSE
"246",NA,NA,NA,"Lawson State Community College",35221,FALSE
