"","FIPS","county","state","rural","south","black35","white90","X1990","X2000","X2010","X2017","pctblack","pctwhite"
"137",5051,"Garland County","AR",FALSE,TRUE,FALSE,FALSE,73397,88068,96024,97994,0.0816478559911831,0.856736126701635
"138",5053,"Grant County","AR",FALSE,TRUE,FALSE,TRUE,13948,16464,17853,18076,0.029375968134543,0.951925204691303
"139",5055,"Greene County","AR",TRUE,TRUE,FALSE,TRUE,31804,37331,42090,44197,0.0104305722107835,0.956603389370319
"140",5057,"Hempstead County","AR",TRUE,TRUE,FALSE,FALSE,21621,23587,22609,22154,0.29624447052451,0.596009749932292
"141",5059,"Hot Spring County","AR",TRUE,TRUE,FALSE,FALSE,26115,30353,32923,33480,0.109498207885305,0.848835125448029
"142",5061,"Howard County","AR",TRUE,TRUE,FALSE,FALSE,13569,14300,13789,13472,0.208506532066508,0.666864608076009
"143",5063,"Independence County","AR",TRUE,TRUE,FALSE,TRUE,31192,34233,36647,37097,0.0203790063886568,0.921826562794835
"144",5065,"Izard County","AR",TRUE,TRUE,FALSE,TRUE,11364,13249,13696,13521,0.0190814288883958,0.948894312550847
"145",5067,"Jackson County","AR",TRUE,TRUE,FALSE,FALSE,18944,18418,17997,17429,0.170176143209593,0.794709966148373
"146",5069,"Jefferson County","AR",FALSE,TRUE,TRUE,FALSE,85487,84278,77435,71373,0.563518417328682,0.405643590713575
"147",5071,"Johnson County","AR",TRUE,TRUE,FALSE,TRUE,18221,22781,25540,26155,0.0180462626648824,0.919135920474097
"148",5073,"Lafayette County","AR",TRUE,TRUE,TRUE,FALSE,9643,8559,7645,7051,0.37895333995178,0.600482201106226
"149",5075,"Lawrence County","AR",TRUE,TRUE,FALSE,TRUE,17457,17774,17415,16777,0.00935804971091375,0.969303212731716
"150",5077,"Lee County","AR",TRUE,TRUE,TRUE,FALSE,13053,12580,10424,9614,0.569065945496151,0.419388391928438
"151",5079,"Lincoln County","AR",FALSE,TRUE,FALSE,FALSE,13690,14492,14134,13885,0.313719841555636,0.666618653222902
"152",5081,"Little River County","AR",FALSE,TRUE,FALSE,FALSE,13966,13628,13171,12494,0.204818312790139,0.738194333279974
"153",5083,"Logan County","AR",TRUE,TRUE,FALSE,TRUE,20557,22486,22353,21802,0.0211907164480323,0.920007338776259
"154",5085,"Lonoke County","AR",FALSE,TRUE,FALSE,FALSE,39268,52828,68356,71568,0.0602923094120277,0.890900961323496
"155",5087,"Madison County","AR",FALSE,TRUE,FALSE,TRUE,11618,14243,15717,15907,0.0057207518702458,0.945872886150751
"156",5089,"Marion County","AR",TRUE,TRUE,FALSE,TRUE,12001,16140,16653,16374,0.00171002809331868,0.962929033834127
"157",5091,"Miller County","AR",FALSE,TRUE,FALSE,FALSE,38467,40443,43462,43760,0.246572212065814,0.705575868372943
"158",5093,"Mississippi County","AR",TRUE,TRUE,TRUE,FALSE,57525,51979,46480,43534,0.351311618505076,0.609224973583866
"159",5095,"Monroe County","AR",TRUE,TRUE,TRUE,FALSE,11333,10254,8149,7420,0.407816711590296,0.55822102425876
"160",5097,"Montgomery County","AR",TRUE,TRUE,FALSE,TRUE,7841,9245,9487,9059,0.00287007395959819,0.91743017993156
