County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,Median Household Income in Dollars
13149,Heard County (GA),"11,552","2,187","$44,575 "
13151,Henry County (GA),"224,238","22,065","$67,493 "
13153,Houston County (GA),"151,580","19,675","$59,291 "
13155,Irwin County (GA),"8,352","1,836","$38,511 "
13157,Jackson County (GA),"66,744","7,670","$63,422 "
13159,Jasper County (GA),"13,823","2,426","$50,234 "
13161,Jeff Davis County (GA),"14,839","3,147","$36,786 "
13163,Jefferson County (GA),"15,153","3,643","$35,201 "
13165,Jenkins County (GA),"7,539","2,474","$32,472 "
13167,Johnson County (GA),"8,047","2,333","$35,243 "
13169,Jones County (GA),"28,118","3,641","$56,039 "
13171,Lamar County (GA),"17,495","2,881","$41,060 "
13173,Lanier County (GA),"10,195","2,085","$39,165 "
